revision;totalFiles;nonJavaFiles;nonJavaEqualFiles;nonJavaMergedFiles;nonJavaFilesConfs;javaFiles;javaEqualFiles;javaMergedFiles;badParsedFiles;javaFilesConfsSS;javaFilesConfsUN;javaEqualConfs;mergeTime
/home/arthur/analysis/projects/glide/revisions/rev_42dde93_058ef77/rev_42dde93-058ef77.revisions;133;87;0;87;0;46;43;3;0;0;14;0;0
/home/arthur/analysis/projects/java/revisions/rev_0ba11d2_d1d0eaf/rev_0ba11d2-d1d0eaf.revisions;808;548;0;548;0;260;260;0;0;0;0;0;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_6a93de9_8bc72b8/rev_6a93de9-8bc72b8.revisions;245;118;0;118;0;127;127;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_8f8b2df_2a372ba/rev_8f8b2df-2a372ba.revisions;125;52;0;52;0;73;73;0;0;0;0;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_273fad8_1ed65df/rev_273fad8-1ed65df.revisions;296;167;0;167;0;129;129;0;0;0;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_a5391b2_c465c1d/rev_a5391b2-c465c1d.revisions;51;51;0;51;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/coreNLP/revisions/rev_3bc0703_be6aacc/rev_3bc0703-be6aacc.revisions;5100;3698;0;3698;0;1402;1402;0;0;0;0;0;0
/home/arthur/analysis/projects/retrolambda/revisions/rev_7bc1cba_c32db1a/rev_7bc1cba-c32db1a.revisions;116;99;0;99;0;17;17;0;0;0;0;0;0
/home/arthur/analysis/projects/glide/revisions/rev_888b2d5_90ee177/rev_888b2d5-90ee177.revisions;154;92;0;92;0;62;62;0;0;0;0;0;0
/home/arthur/analysis/projects/java/revisions/rev_153f3fb_2b2536d/rev_153f3fb-2b2536d.revisions;881;619;0;619;0;262;262;0;0;0;0;0;0
/home/arthur/analysis/projects/grpc-java/revisions/rev_425e3c0_23f513c/rev_425e3c0-23f513c.revisions;249;122;0;122;0;127;127;0;0;0;0;0;0
/home/arthur/analysis/projects/netty-socketio/revisions/rev_2e9b5ef_e797a71/rev_2e9b5ef-e797a71.revisions;129;54;0;54;0;75;68;4;3;1;3;0;0
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_4228f2c_bb5cfd5/rev_4228f2c-bb5cfd5.revisions;299;167;0;167;0;132;132;0;0;0;0;0;0
/home/arthur/analysis/projects/okio/revisions/rev_d2bf883_2d3cdc9/rev_d2bf883-2d3cdc9.revisions;51;51;0;51;0;0;0;0;0;0;0;0;0
/home/arthur/analysis/projects/coreNLP/revisions/rev_130af89_b729728/rev_130af89-b729728.revisions;5100;3698;0;3698;0;1402;1402;0;0;0;0;0;0
/home/arthur/analysis/projects/retrolambda/revisions/rev_c81f777_70cdac4/rev_c81f777-70cdac4.revisions;147;123;0;123;0;24;24;0;0;0;0;0;0
