revision;file;methodSignature
/home/arthur/analysis/projects/netty-socketio/revisions/rev_2e9b5ef_e797a71/rev_2e9b5ef-e797a71;/src/main/java/com/corundumstudio/socketio/AckManager;registerAck(UUID,AckCallback);public long registerAck(UUID sessionId, final AckCallback callback) {
/home/arthur/analysis/projects/glide/revisions/rev_347118b_a55e201/rev_347118b-a55e201;/library/src/com/bumptech/glide/presenter/target/ImageViewTarget;getSize(SizeReadyCallback);
/home/arthur/analysis/projects/glide/revisions/rev_347118b_a55e201/rev_347118b-a55e201;/library/src/com/bumptech/glide/resize/load/Downsampler;downsample(RecyclableBufferedInputStream,BitmapFactory.Options,BitmapPool,int,int);
/home/arthur/analysis/projects/glide/revisions/rev_347118b_a55e201/rev_347118b-a55e201;/library/src/com/bumptech/glide/resize/load/ImageResizer;rotateImageExif(Bitmap,BitmapPool,int);
/home/arthur/analysis/projects/glide/revisions/rev_809f3b3_0b2cafb/rev_809f3b3-0b2cafb;/library/src/com/bumptech/glide/resize/ImageManager;getImage(String,StreamLoader,Transformation,Downsampler,int,int,LoadedCallback);
/home/arthur/analysis/projects/glide/revisions/rev_a7fbd5b_60b0657/rev_a7fbd5b-60b0657;/library/src/com/bumptech/glide/presenter/target/ImageViewTarget;getSize(SizeReadyCallback);public void getSize(SizeReadyCallback cb) {
/home/arthur/analysis/projects/glide/revisions/rev_a7fbd5b_60b0657/rev_a7fbd5b-60b0657;/library/src/com/bumptech/glide/resize/ImageManager;cancel(LoadedCallback);public void cancel(LoadedCallback cb) {
/home/arthur/analysis/projects/glide/revisions/rev_a7fbd5b_60b0657/rev_a7fbd5b-60b0657;/library/src/com/bumptech/glide/loader/model/UriLoader;getStreamLoader(Uri,int,int);@Override    public StreamLoader getStreamLoader(Uri model, int width, int height) {
/home/arthur/analysis/projects/glide/revisions/rev_a7fbd5b_60b0657/rev_a7fbd5b-60b0657;/samples/flickr/src/com/bumptech/glide/samples/flickr/FlickrSearchActivity;executeSearch();private void executeSearch() {
/home/arthur/analysis/projects/glide/revisions/rev_a7fbd5b_60b0657/rev_a7fbd5b-60b0657;/library/src/com/bumptech/glide/Glide;isIdenticalTo(Metadata);public boolean isIdenticalTo(Metadata metadata) {
/home/arthur/analysis/projects/glide/revisions/rev_a7fbd5b_60b0657/rev_a7fbd5b-60b0657;/library/src/com/bumptech/glide/resize/bitmap_recycle/SizeStrategy;getBytesPerPixel(Bitmap.Config);private static int getBytesPerPixel(Bitmap.Config config) {
/home/arthur/analysis/projects/glide/revisions/rev_a7fbd5b_60b0657/rev_a7fbd5b-60b0657;/library/src/com/bumptech/glide/resize/load/ImageResizer;centerCrop(Bitmap,Bitmap,int,int);public static Bitmap centerCrop(Bitmap recycled, Bitmap toCrop, int width, int height) {
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_be72194_7594310/rev_be72194-7594310;/library/src/main/java/com/google/android/exoplayer/MediaCodecAudioTrackRenderer;processOutputBuffer(long,MediaCodec,ByteBuffer,MediaCodec.BufferInfo,int,boolean);@Override  protected boolean processOutputBuffer(long timeUs, MediaCodec codec, ByteBuffer buffer,      MediaCodec.BufferInfo bufferInfo, int bufferIndex, boolean shouldSkip)      throws ExoPlaybackException {
/home/arthur/analysis/projects/ExoPlayer/revisions/rev_be72194_7594310/rev_be72194-7594310;/library/src/main/java/com/google/android/exoplayer/MediaCodecVideoTrackRenderer;processOutputBuffer(long,MediaCodec,ByteBuffer,MediaCodec.BufferInfo,int,boolean);@Override  protected boolean processOutputBuffer(long timeUs, MediaCodec codec, ByteBuffer buffer,      MediaCodec.BufferInfo bufferInfo, int bufferIndex, boolean shouldSkip) {
/home/arthur/analysis/projects/glide/revisions/rev_f389e91_431ccaf/rev_f389e91-431ccaf;/integration/volley/src/main/java/com/bumptech/glide/integration/volley/VolleyUrlLoader;getResourceFetcher(GlideUrl,int,int);
/home/arthur/analysis/projects/glide/revisions/rev_f389e91_431ccaf/rev_f389e91-431ccaf;/library/src/main/java/com/bumptech/glide/GenericRequestBuilder;buildRequestRecursive(Target<TranscodeType>,ThumbnailRequestCoordinator);
/home/arthur/analysis/projects/glide/revisions/rev_f389e91_431ccaf/rev_f389e91-431ccaf;/library/src/main/java/com/bumptech/glide/request/GenericRequest;begin();
/home/arthur/analysis/projects/glide/revisions/rev_e161ca9_7e0f873/rev_e161ca9-7e0f873;/samples/svg/src/main/java/com/bumptech/svgsample/app/MainActivity;loadNet();
/home/arthur/analysis/projects/glide/revisions/rev_e161ca9_7e0f873/rev_e161ca9-7e0f873;/library/src/androidTest/java/com/bumptech/glide/load/data/HttpUrlFetcherTest;testReturnsModelAsString();@Test    public void testReturnsModelAsString() {
